"Location","Latitude","Longitude","Habitat","Codes",,,,,,
"LNV1A",28.608417,-96.475517,"Mud bottom","LMB1",,,,-96.475517,96.4755166667,28.608417
"LNV1B",28.607217,-96.474500,"Mud bottom",,,,,-96.474500,96.4745,28.607217
"LNV2A",28.592400,-96.483033,"Mud bottom","LMB2",,,,-96.483033,96.4830333333,28.592400
"LNV2B",28.590883,-96.484133,"Mud bottom",,,,,-96.484133,96.4841333333,28.590883
"LR1A",28.603633,-96.482383,"Oyster reef","LR1",,,,-96.482383,96.4823833333,28.603633
"LR1B",28.602950,-96.481933,"Oyster reef",,,,,-96.481933,96.4819333333,28.602950
"LR2A",28.596800,-96.484067,"Oyster reef","LR2",,,,-96.484067,96.4840666667,28.596800
"LR2B",28.597383,-96.485567,"Oyster reef",,,,,-96.485567,96.4855666667,28.597383
"LM1",28.595267,-96.477033,"Marsh edge","LM/SG1",,,,-96.477033,96.4770333333,28.595267
"LSG1",28.596233,-96.476483,"Seagrass",,,,,-96.476483,96.4764833333,28.596233
"LM2",28.593150,-96.474633,"Marsh edge","LM/SG2",,,,-96.474633,96.4746333333,28.593150
"LSG2",28.594833,-96.473967,"Seagrass",,,,,-96.473967,96.4739666667,28.594833
"UM1",28.641767,-96.613250,"Marsh edge","UM1",,,,-96.613250,96.61325,28.641767
"UM2",28.635850,-96.612017,"Marsh edge","UM2",,,,-96.612017,96.6120166667,28.635850
"UNV1",28.654600,-96.605300,"Mud bottom","UMB1",,,,-96.605300,96.6053,28.654600
"UNV2",28.659067,-96.598300,"Mud bottom","UMB2",,,,-96.598300,96.5983,28.659067
"UR1A",28.652067,-96.603967,"Oyster reef","UR1",,,,-96.603967,96.6039666667,28.652067
"UR1B",28.651500,-96.603583,"Oyster reef",,,,,-96.603583,96.6035833333,28.651500
"UR2A",28.656117,-96.597967,"Oyster reef","UR2",,,,-96.597967,96.5979666667,28.656117
"UR2B",28.656483,-96.597217,"Oyster reef",,,,,-96.597217,96.5972166667,28.656483
